"filename", "language", "Shell Script", "Docker", "Batch", "YAML", "Go Work File", "Go", "C", "Markdown", "Go Module File", "Go Checksum File", "Properties", "C++", "JavaScript", "HTML", "GLSL", "JSON", "Makefile", "WebAssembly Text Format", "comment", "blank", "total"
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsRadioSer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 15, 4, 23
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStartup.c", "C", 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 111, 610
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStartup.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 15, 11, 52
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStr.c", "C", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 29, 218
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStr.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 15, 4, 26
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStrParser.c", "C", 0, 0, 0, 0, 0, 0, 769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 147, 1202
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsStrParser.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 240, 39, 300
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsTrap.c", "C", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 65, 301
"/home/jowens/Projects/NovusTimeServer/nsAgent/nsAgent/nsTrap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 15, 9, 67
"/home/jowens/Projects/NovusTimeServer/run.bat", "Batch", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/jowens/Projects/NovusTimeServer/server/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/jowens/Projects/NovusTimeServer/server/server.go", "Go", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/jowens/Projects/NovusTimeServer/useradmintools.sh", "Shell Script", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 119
"/home/jowens/Projects/NovusTimeServer/web/files/assets/AssetManifest.bin.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/jowens/Projects/NovusTimeServer/web/files/assets/AssetManifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/jowens/Projects/NovusTimeServer/web/files/assets/FontManifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
